127.0.0.1 - - [24/Sep/2021:08:42:20 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:25 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:26 -0500] "GET /Ciclo3demo/CssIndex.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:35 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:35 -0500] "GET /Ciclo3demo/CssIndex.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:35 -0500] "GET /Ciclo3demo/img/wallpaper1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:58 -0500] "GET /Ciclo3demo/DemoServlet?txtusuario=admin&txtpassword=123&accion=Ingresar HTTP/1.1" 200 8444
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:58 -0500] "GET /Ciclo3demo/cssPrincipal.css HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:42:58 -0500] "GET /Ciclo3demo/img/User.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:43:03 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8413
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:31 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:31 -0500] "GET /Ciclo3demo/cssUsuarios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:35 -0500] "GET /Ciclo3demo/Controlador?menu=Clientes HTTP/1.1" 500 1132
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:38 -0500] "GET /Ciclo3demo/Controlador?menu=Proveedores HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:40 -0500] "GET /Ciclo3demo/Controlador?menu=Productos HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:41 -0500] "GET /Ciclo3demo/Controlador?menu=Ventas HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:43 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:44:43 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8413
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:45:56 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:45:57 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:49:27 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:49:52 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:12 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:12 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:17 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:20 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:29 -0500] "GET /Ciclo3demo/Controlador?menu=Clientes HTTP/1.1" 500 1132
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:32 -0500] "GET /Ciclo3demo/Controlador?menu=Proveedores HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:33 -0500] "GET /Ciclo3demo/Controlador?menu=Productos HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:34 -0500] "GET /Ciclo3demo/Controlador?menu=Ventas HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:37 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:38 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:51:49 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:53:20 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:08:53:20 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:41:23 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:41:36 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:42:08 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:42:08 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
